n,structure,position,operation,average_ns,movements,theoretical
100,DynamicArray,beginning,insert,1058816,599500,Theta(n)
100,DynamicArray,beginning,remove,42957,4950,Theta(n)
100,DynamicArray,middle,insert,230108,300000,Theta(n)
100,DynamicArray,middle,remove,11299,2450,Theta(n)
100,LinkedList,beginning,insert,70841,0,Theta(n)
100,LinkedList,beginning,remove,8958,0,Theta(n)
100,LinkedList,middle,insert,557091,298500,Theta(n)
100,LinkedList,middle,remove,8091,2401,Theta(n)
1000,DynamicArray,beginning,insert,853466,1499500,Theta(n)
1000,DynamicArray,beginning,remove,307633,499500,Theta(n)
1000,DynamicArray,middle,insert,458133,750000,Theta(n)
1000,DynamicArray,middle,remove,183249,249500,Theta(n)
1000,LinkedList,beginning,insert,62025,0,Theta(n)
1000,LinkedList,beginning,remove,16100,0,Theta(n)
1000,LinkedList,middle,insert,1076708,748500,Theta(n)
1000,LinkedList,middle,remove,132025,249001,Theta(n)
10000,DynamicArray,beginning,insert,5663516,10499500,Theta(n)
10000,DynamicArray,beginning,remove,4907508,9499500,Theta(n)
10000,DynamicArray,middle,insert,2747008,5250000,Theta(n)
10000,DynamicArray,middle,remove,2446675,4749500,Theta(n)
10000,LinkedList,beginning,insert,8066,0,Theta(n)
10000,LinkedList,beginning,remove,4358,0,Theta(n)
10000,LinkedList,middle,insert,8607375,5248500,Theta(n)
10000,LinkedList,middle,remove,6844016,4749000,Theta(n)
100000,DynamicArray,beginning,insert,60601091,100499500,Theta(n)
100000,DynamicArray,beginning,remove,62238233,99499500,Theta(n)
100000,DynamicArray,middle,insert,31597600,50250000,Theta(n)
100000,DynamicArray,middle,remove,29709533,49749500,Theta(n)
100000,LinkedList,beginning,insert,6508,0,Theta(n)
100000,LinkedList,beginning,remove,2708,0,Theta(n)
100000,LinkedList,middle,insert,75797958,50248500,Theta(n)
100000,LinkedList,middle,remove,80671941,49749000,Theta(n)
